,OBJECTID,DATE,Count_,Daily Reported,7-Day Avg,Daily100k,7Day,100k7D,100k7DDiff,TotalNewCasesPast7Days,TotalNewCasesPast7Days100k
0,1,2020-03-04,0,0,,0.0,,,,,
1,2,2020-03-05,3,3,,0.04962220957774807,,,,,
2,3,2020-03-06,3,0,,0.0,,,,,
3,4,2020-03-07,3,0,,0.0,,,,,
4,5,2020-03-08,5,2,,0.03308147305183205,,,,,
5,6,2020-03-09,6,1,,0.016540736525916026,,,,,
6,7,2020-03-10,9,3,1.29,0.04962220957774807,1.2857142857142858,0.021266661247606317,,9.0,0.14886662873324422
7,8,2020-03-11,12,3,1.71,0.04962220957774807,1.7142857142857142,0.028355548330141755,0.007088887082535439,12.0,0.1984888383109923
8,9,2020-03-12,12,0,1.29,0.0,1.2857142857142858,0.021266661247606317,-0.007088887082535439,9.0,0.14886662873324422
9,10,2020-03-13,15,3,1.71,0.04962220957774807,1.7142857142857142,0.028355548330141755,0.007088887082535439,12.0,0.1984888383109923
10,11,2020-03-14,26,11,3.29,0.18194810178507628,3.2857142857142856,0.05434813429943836,0.025992585969296607,23.0,0.3804369400960686
11,12,2020-03-15,31,5,3.71,0.08270368262958014,3.7142857142857144,0.06143702138197381,0.007088887082535446,26.0,0.4300591496738167
12,13,2020-03-16,37,6,4.43,0.09924441915549614,4.428571428571429,0.07325183318619954,0.011814811804225736,31.0,0.5127628323033968
13,14,2020-03-17,57,20,6.86,0.33081473051832055,6.857142857142857,0.11342219332056704,0.04017036013436749,48.0,0.7939553532439692
14,15,2020-03-18,85,28,10.43,0.46314062272564877,10.428571428571429,0.17249625234169572,0.05907405902112868,73.0,1.20747376639187
15,16,2020-03-19,107,22,13.57,0.36389620357015257,13.571428571428571,0.22448142428028892,0.0519851719385932,95.0,1.5713699699620225
16,17,2020-03-20,149,42,19.14,0.6947109340884731,19.142857142857142,0.3166369563532497,0.09215553207296076,134.0,2.2164586944727476
17,18,2020-03-21,190,41,23.43,0.6781701975625571,23.428571428571427,0.38752582717860407,0.07088887082535439,164.0,2.7126807902502286
18,19,2020-03-22,244,54,30.43,0.8931997723994655,30.428571428571427,0.5033109828600162,0.11578515568141212,213.0,3.5231768800201135
19,20,2020-03-23,288,44,35.86,0.7277924071403051,35.857142857142854,0.5931035525721319,0.08979256971211569,251.0,4.151724868004923
20,21,2020-03-24,349,61,41.71,1.0089849280808776,41.714285714285715,0.6899850093667829,0.09688145679465099,292.0,4.82989506556748
21,22,2020-03-25,423,74,48.29,1.2240145029177858,48.285714285714285,0.7986812779656596,0.10869626859887671,338.0,5.590768945759617
22,23,2020-03-26,580,157,67.57,2.596895634568816,67.57142857142857,1.1176811966797544,0.31899991871409483,473.0,7.82376837675828
23,24,2020-03-27,774,194,89.29,3.2089028860277087,89.28571428571429,1.4768514755282165,0.3591702788484621,625.0,10.337960328697516
24,25,2020-03-28,992,218,114.57,3.6058805626496935,114.57142857142857,1.8950958133978075,0.41824433786959103,802.0,13.265670693784651
25,26,2020-03-29,1239,247,142.14,4.085561921901259,142.14285714285714,2.351147549040921,0.4560517356431133,995.0,16.458032843286446
26,27,2020-03-30,1413,174,160.71,2.8780881555093885,160.71428571428572,2.65833265595079,0.307185106909869,1125.0,18.60832859165553
27,28,2020-03-31,1660,247,187.29,4.085561921901259,187.28571428571428,3.097843655067987,0.43951099911719727,1311.0,21.68490558547591
28,29,2020-04-01,1985,325,223.14,5.375739370922709,223.14285714285714,3.690947207640119,0.5931035525721318,1562.0,25.836630453480833
29,30,2020-04-02,2331,346,250.14,5.723094837966945,250.14285714285714,4.137547093839852,0.4465998861997331,1751.0,28.96282965687896
30,31,2020-04-03,2758,427,283.43,7.062894496566143,283.42857142857144,4.688117323916771,0.5505702300769189,1984.0,32.816821267417396
31,32,2020-04-04,3125,367,304.71,6.070450305011182,304.7142857142857,5.040198715682698,0.35208139176592734,2133.0,35.281391009778886
32,33,2020-04-05,3609,484,338.57,8.005716478543357,338.57142857142856,5.600220795202998,0.5600220795202997,2370.0,39.20154556642098
33,34,2020-04-06,4045,436,376.0,7.211761125299387,376.0,6.219316933744426,0.619096138541428,2632.0,43.53521853621098
34,35,2020-04-07,4371,326,387.29,5.392280107448625,387.2857142857143,6.405990960251192,0.18667402650676657,2711.0,44.841936721758344
35,36,2020-04-08,5529,1158,506.29,19.154172897010756,506.2857142857143,8.374338606835199,1.9683476465840064,3544.0,58.620370247846395
36,37,2020-04-09,6185,656,550.57,10.850723161000914,550.5714285714286,9.106856938697195,0.7325183318619963,3854.0,63.74799857088037
37,38,2020-04-10,6968,783,601.43,12.951396699792248,601.4285714285714,9.948071539158068,0.8412146004608729,4210.0,69.63650077410648
