,OBJECTID,DATE,Allegany,Anne_Arundel,Baltimore,Baltimore_City,Calvert,Caroline,Carroll,Cecil,Charles,Dorchester,Frederick,Garrett,Harford,Howard,Kent,Montgomery,Prince_Georges,Queen_Annes,Somerset,St_Marys,Talbot,Washington,Wicomico,Worcester,Unknown,AACountyPop,ndate,AADailyCases,AA7Day,AADaily100K,AA100k7D,BaltCountyDailyCases,BaltimoreCounty7Day,BaltimoreCountyDaily100K,BaltimoreCounty100k7D,BaltimoreCityDC,BaltCity7Day,BaltCityDaily100k,BaltimoreCity100k7D,HowardDC,Howard7Day,HowardCountyDaily100K,HowardCounty100k7D,CalvertDC,Calvert7Day,CalvertDaily100k,Calvert100k7D,PGDC,PG7Day,PGDaily100k,PG100k7D,HarfordDC,Hardford7Day,Harford100kDaily,Hardford100k7D,MontgomeryDC,Montgomery7Day,Montgomery100kDaily,Montgomery100k7D
0,1,2020/03/15 14:00:00+00,,2,3,1,,,1,,1,,,,2,,,12,9,,,,,,,,,,2020-03-15 14:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,2020/03/16 14:00:00+00,,1,4,1,,,1,,1,,,,2,1.0,,10,15,,,,1.0,,,,,,2020-03-16 14:00:00+00:00,-1.0,,-0.17444974190160684,,1.0,,0.1180637544273908,,0.0,,0.0,,,,,,,,,,6.0,,0.6549203071139628,,0.0,,0.0,,-2.0,,-0.1903514649448742,
2,3,2020/03/17 14:00:00+00,,3,6,1,,,1,,1,,1.0,,2,3.0,,24,14,,,,1.0,,,,,,2020-03-17 14:00:00+00:00,2.0,,0.3488994838032137,,2.0,,0.2361275088547816,,0.0,,0.0,,2.0,,0.5936109651817488,,,,,,-1.0,,-0.10915338451899377,,0.0,,0.0,,14.0,,1.3324602546141195,
3,4,2020/03/18 14:00:00+00,,4,10,4,,,1,,2,,1.0,,3,8.0,,31,20,,,,1.0,,,,,,2020-03-18 14:00:00+00:00,1.0,,0.17444974190160684,,4.0,,0.4722550177095632,,3.0,,0.4867822395877279,,5.0,,1.484027412954372,,,,,,6.0,,0.6549203071139628,,1.0,,0.3914798329164073,,7.0,,0.6662301273070598,
4,5,2020/03/19 14:00:00+00,,5,12,8,1.0,,2,,2,,1.0,,3,16.0,,33,23,,,,1.0,,,,,,2020-03-19 14:00:00+00:00,1.0,,0.17444974190160684,,2.0,,0.2361275088547816,,4.0,,0.6490429861169705,,8.0,,2.3744438607269953,,,,,,3.0,,0.3274601535569814,,0.0,,0.0,,2.0,,0.1903514649448742,
5,6,2020/03/20 14:00:00+00,,10,13,11,1.0,,3,,2,,1.0,,5,18.0,,51,31,,,,1.0,,1.0,1.0,,,2020-03-20 14:00:00+00:00,5.0,,0.8722487095080342,,1.0,,0.1180637544273908,,3.0,,0.4867822395877279,,2.0,,0.5936109651817488,,0.0,,0.0,,8.0,,0.8732270761519502,,2.0,,0.7829596658328146,,18.0,,1.7131631845038677,
6,7,2020/03/21 14:00:00+00,,15,19,15,1.0,,3,,4,,1.0,,5,19.0,,68,36,,,,1.0,,2.0,1.0,,,2020-03-21 14:00:00+00:00,5.0,,0.8722487095080342,,6.0,,0.7083825265643447,,4.0,,0.6490429861169705,,1.0,,0.2968054825908744,,0.0,,0.0,,5.0,,0.545766922594969,,0.0,,0.0,,17.0,,1.6179874520314308,
7,8,2020/03/22 14:00:00+00,,18,28,24,2.0,1.0,4,1.0,4,,1.0,,5,24.0,,83,40,,1.0,1.0,1.0,1.0,2.0,2.0,,,2020-03-22 14:00:00+00:00,3.0,2.2857142857142856,0.5233492257048206,0.3987422672036728,9.0,3.5714285714285716,1.062573789846517,0.42165626581210996,9.0,3.2857142857142856,1.4603467187631836,0.5331424528817973,5.0,,1.484027412954372,,1.0,,1.0570154112846966,,4.0,4.428571428571429,0.4366135380759751,0.48339356001268674,0.0,0.42857142857142855,0.0,0.16777707124988886,15.0,10.142857142857142,1.4276359870865567,0.9653538579347192
8,9,2020/03/23 14:00:00+00,,20,35,31,2.0,1.0,5,1.0,5,,2.0,3.0,5,26.0,,93,47,1.0,1.0,1.0,1.0,2.0,4.0,2.0,,,2020-03-23 14:00:00+00:00,2.0,2.7142857142857144,0.3488994838032137,0.47350644230436145,7.0,4.428571428571429,0.8264462809917356,0.5228537696070165,7.0,4.285714285714286,1.1358252257046983,0.6954031994110398,2.0,3.5714285714285716,0.5936109651817488,1.0600195806816943,0.0,,0.0,,7.0,4.571428571428571,0.7640736916329565,0.4989869006582573,0.0,0.42857142857142855,0.0,0.16777707124988886,10.0,11.857142857142858,0.9517573247243711,1.1285122564588972
9,10,2020/03/24 14:00:00+00,,24,42,41,3.0,1.0,5,3.0,5,,4.0,3.0,5,30.0,,107,63,1.0,1.0,2.0,1.0,2.0,4.0,2.0,,,2020-03-24 14:00:00+00:00,4.0,3.0,0.6977989676064273,0.5233492257048206,7.0,5.142857142857143,0.8264462809917356,0.6071850227694383,10.0,5.714285714285714,1.6226074652924265,0.9272042658813865,4.0,3.857142857142857,1.1872219303634977,1.14482114713623,1.0,,1.0570154112846966,,16.0,7.0,1.7464541523039003,0.7640736916329564,0.0,0.42857142857142855,0.0,0.16777707124988886,14.0,11.857142857142858,1.3324602546141195,1.1285122564588972
