DATE,OBJECTID,Count_,DailyDeathsReported,DailyDeaths7D,deathsbyDay,deathsbyDay7Day
2020-03-18 14:00:00+00:00,1,1,,,2,
2020-03-19 14:00:00+00:00,2,1,0.0,,0,
2020-03-20 14:00:00+00:00,3,2,1.0,,2,
2020-03-21 14:00:00+00:00,4,2,0.0,,0,
2020-03-22 14:00:00+00:00,5,3,1.0,,1,
2020-03-23 14:00:00+00:00,6,3,0.0,,0,
2020-03-24 14:00:00+00:00,7,3,0.0,,1,0.8571428571428571
2020-03-25 14:00:00+00:00,8,4,1.0,0.42857142857142855,0,0.5714285714285714
2020-03-26 14:00:00+00:00,9,4,0.0,0.42857142857142855,2,0.8571428571428571
2020-03-27 14:00:00+00:00,10,5,1.0,0.42857142857142855,3,1.0
2020-03-28 14:00:00+00:00,11,5,0.0,0.42857142857142855,8,2.142857142857143
2020-03-29 14:00:00+00:00,12,10,5.0,1.0,7,3.0
2020-03-30 14:00:00+00:00,13,15,5.0,1.7142857142857142,11,4.571428571428571
2020-03-31 14:00:00+00:00,14,18,3.0,2.142857142857143,8,5.571428571428571
2020-04-01 14:00:00+00:00,15,31,13.0,3.857142857142857,8,6.714285714285714
2020-04-02 14:00:00+00:00,16,36,5.0,4.571428571428571,11,8.0
2020-04-03 14:00:00+00:00,17,42,6.0,5.285714285714286,19,10.285714285714286
2020-04-04 14:00:00+00:00,18,53,11.0,6.857142857142857,16,11.428571428571429
2020-04-05 14:00:00+00:00,19,67,14.0,8.142857142857142,23,13.714285714285714
2020-04-06 14:00:00+00:00,20,91,24.0,10.857142857142858,16,14.428571428571429
2020-04-07 14:00:00+00:00,21,103,12.0,12.142857142857142,21,16.285714285714285
2020-04-08 14:00:00+00:00,22,124,21.0,13.285714285714286,29,19.285714285714285
2020-04-09 14:00:00+00:00,23,138,14.0,14.571428571428571,29,21.857142857142858
2020-04-10 14:00:00+00:00,24,171,33.0,18.428571428571427,34,24.0
2020-04-11 14:00:00+00:00,25,206,35.0,21.857142857142858,42,27.714285714285715
2020-04-12 14:00:00+00:00,26,235,29.0,24.0,31,28.857142857142858
2020-04-13 14:00:00+00:00,27,262,27.0,24.428571428571427,43,32.714285714285715
2020-04-14 14:00:00+00:00,28,302,40.0,28.428571428571427,36,34.857142857142854
2020-04-15 14:00:00+00:00,29,349,47.0,32.142857142857146,46,37.285714285714285
2020-04-16 14:00:00+00:00,30,392,43.0,36.285714285714285,31,37.57142857142857
2020-04-17 14:00:00+00:00,31,425,33.0,36.285714285714285,41,38.57142857142857
2020-04-18 14:00:00+00:00,32,463,38.0,36.714285714285715,39,38.142857142857146
2020-04-19 14:00:00+00:00,33,486,23.0,35.857142857142854,44,40.0
2020-04-20 14:00:00+00:00,34,516,30.0,36.285714285714285,51,41.142857142857146
2020-04-21 14:00:00+00:00,35,584,68.0,40.285714285714285,48,42.857142857142854
2020-04-22 14:00:00+00:00,36,631,47.0,40.285714285714285,47,43.0
2020-04-23 14:00:00+00:00,37,680,49.0,41.142857142857146,52,46.0
2020-04-24 14:00:00+00:00,38,723,43.0,42.57142857142857,64,49.285714285714285
