AA Hospital Beds Date,Acute,ICU,Total
4/2/2020,8,6,14
4/3/2020,13,8,21
4/4/2020,29,33,62
4/5/2020,77,34,111
4/6/2020,71,28,99
4/7/2020,81,24,105
4/8/2020,84,29,113
4/9/2020,80,30,110
4/10/2020,52,36,88
4/11/2020,58,39,97
4/12/2020,79,40,119
4/13/2020,77,37,114
4/14/2020,88,40,128
4/15/2020,104,42,146
4/16/2020,84,44,128
4/17/2020,116,45,161
4/18/2020,81,40,121
4/19/2020,97,42,139
4/20/2020,106,43,149
4/21/2020,138,34,172
4/22/2020,128,39,167
4/23/2020,101,43,144
4/24/2020,108,38,146
4/25/2020,111,37,148
4/26/2020,109,35,144
4/27/2020,105,36,141
4/28/2020,105,41,146
4/29/2020,105,37,142
4/30/2020,107,38,145
5/1/2020,110,36,146
5/2/2020,98,34,132
5/3/2020,107,34,141
5/4/2020,99,35,134
5/5/2020,101,34,135
5/6/2020,94,31,125
5/7/2020,79,31,110
5/8/2020,89,41,130
5/9/2020,93,43,136
5/10/2020,93,42,135
5/11/2020,85,43,128
5/12/2020,93,46,139
5/13/2020,86,49,135
5/14/2020,73,40,113
5/15/2020,71,41,112
5/16/2020,67,35,102
5/17/2020,79,34,113
5/18/2020,60,36,96
5/19/2020,63,36,99
5/20/2020,68,38,106
5/21/2020,64,34,98
5/22/2020,64,37,101
5/23/2020,66,37,103
5/24/2020,63,37,100
5/25/2020,67,33,100
5/26/2020,72,35,107
5/27/2020,58,36,94
5/28/2020,64,36,100
5/29/2020,61,32,93
5/30/2020,56,27,83
5/31/2020,55,29,84
6/1/2020,55,29,84
6/2/2020,49,29,78
6/3/2020,53,30,83
6/4/2020,61,29,90
6/5/2020,65,23,88
6/6/2020,62,23,85
6/7/2020,57,24,81
6/8/2020,56,22,78
6/9/2020,43,25,68
6/10/2020,42,25,67
6/11/2020,38,25,63
6/12/2020,33,24,57
6/13/2020,31,20,51
6/14/2020,26,20,46
6/15/2020,22,20,42
6/16/2020,27,19,46
6/17/2020,31,17,48
6/18/2020,26,19,45
6/19/2020,26,18,44
6/20/2020,28,14,42
6/21/2020,25,14,39
6/22/2020,19,13,32
6/23/2020,19,14,33
6/24/2020,18,14,32
6/25/2020,16,14,30
6/26/2020,15,15,30
6/27/2020,17,10,27
6/28/2020,18,11,29
6/29/2020,21,10,31
6/30/2020,29,7,36
7/1/2020,23,7,30
7/2/2020,23,7,30
7/3/2020,22,6,28
7/4/2020,24,5,29
7/5/2020,20,6,26
7/6/2020,19,8,27
7/7/2020,23,7,30
7/8/2020,25,6,31
7/9/2020,25,7,32
7/10/2020,22,5,27
7/11/2020,25,5,30
7/12/2020,20,5,25
7/13/2020,23,5,28
7/14/2020,24,6,30
7/15/2020,27,7,34
7/16/2020,27,7,34
7/17/2020,34,10,44
7/18/2020,35,10,45
7/19/2020,37,9,46
7/20/2020,34,9,43
7/21/2020,36,10,46
7/22/2020,34,11,45
7/23/2020,32,14,46
7/24/2020,34,15,49
7/25/2020,33,15,48
7/26/2020,28,17,45
7/27/2020,27,16,43
7/28/2020,34,11,45
7/29/2020,32,13,45
7/30/2020,29,13,42
7/31/2020,34,12,46
8/1/2020,33,11,44
8/2/2020,34,9,43
8/3/2020,33,10,43
8/4/2020,37,9,46
8/5/2020,36,10,46
8/6/2020,32,11,43
8/7/2020,32,11,43
8/8/2020,27,12,39
8/9/2020,25,10,35
8/10/2020,20,9,29
