epoch,Cases Total,New Cases Per Day
1583834400000,0,0
1583920800000,0,0
1584007200000,0,0
1584093600000,0,0
1584180000000,0,0
1584266400000,1,1
1584352800000,3,2
1584439200000,4,1
1584525600000,5,1
1584612000000,10,5
1584698400000,15,5
1584784800000,18,3
1584871200000,20,2
1584957600000,24,4
1585044000000,31,7
1585130400000,41,10
1585216800000,63,22
1585303200000,88,25
1585389600000,99,11
1585476000000,110,11
1585562400000,127,17
1585648800000,158,31
1585735200000,206,48
1585821600000,249,43
1585908000000,289,40
1585994400000,319,30
1586080800000,343,24
1586167200000,370,27
1586253600000,466,96
1586340000000,505,39
1586426400000,554,49
1586512800000,615,61
1586599200000,659,44
1586685600000,724,65
1586772000000,783,59
1586858400000,845,62
1586944800000,896,51
1587031200000,966,70
1587117600000,1005,39
1587204000000,1047,42
1587290400000,1098,51
1587376800000,1157,59
1587463200000,1190,33
1587549600000,1294,104
1587636000000,1373,79
1587722400000,1430,57
1587808800000,1510,80
1587895200000,1544,34
1587981600000,1571,27
1588068000000,1662,91
1588154400000,1725,63
1588240800000,1807,82
1588327200000,1885,78
1588413600000,1959,74
1588500000000,2018,59
1588586400000,2045,27
1588672800000,2085,40
1588759200000,2194,109
1588845600000,2290,96
1588932000000,2372,82
1589018400000,2463,91
1589104800000,2492,29
1589191200000,2520,28
1589277600000,2596,76
1589364000000,2661,65
1589450400000,2752,91
1589536800000,2801,49
1589623200000,2856,55
1589709600000,2893,37
1589796000000,2981,88
1589882400000,3033,52
1589968800000,3132,99
1590055200000,3207,75
1590141600000,3282,75
1590228000000,3307,25
1590314400000,3357,50
1590400800000,3394,37
1590487200000,3448,54
1590573600000,3556,108
1590660000000,3643,87
1590746400000,3743,100
1590832800000,3785,42
1590919200000,3842,57
1591005600000,3924,82
1591092000000,4009,85
1591178400000,4080,71
1591264800000,4150,70
1591351200000,4210,60
1591437600000,4236,26
1591524000000,4267,31
1591610400000,4309,42
1591696800000,4348,39
1591783200000,4421,73
1591869600000,4453,32
1591956000000,4522,69
1592042400000,4607,85
1592128800000,4623,16
1592215200000,4751,128
1592301600000,4796,45
1592388000000,4835,39
1592474400000,4862,27
1592560800000,4880,18
1592647200000,4904,24
1592733600000,4916,12
1592820000000,4946,30
1592906400000,4956,10
1592992800000,4985,29
1593079200000,5005,20
1593165600000,5042,37
1593252000000,5055,13
1593338400000,5092,37
1593424800000,5109,17
1593511200000,5134,25
1593597600000,5179,45
1593684000000,5200,21
1593770400000,5239,39
1593856800000,5261,22
1593943200000,5290,29
1594029600000,5305,15
1594116000000,5341,36
1594202400000,5391,50
1594288800000,5423,32
1594375200000,5471,48
1594461600000,5514,43
1594548000000,5562,48
1594634400000,5619,57
1594720800000,5683,64
1594807200000,5735,52
1594893600000,5813,78
1594980000000,5902,89
1595066400000,5955,53
1595152800000,6003,48
1595239200000,6062,59
1595325600000,6105,43
1595412000000,6144,39
1595498400000,6229,85
1595584800000,6343,114
1595671200000,6380,37
1595757600000,6469,89
1595844000000,6537,68
1595930400000,6599,62
1596016800000,6684,85
1596103200000,6770,86
1596189600000,6855,85
1596276000000,6958,103
1596362400000,7007,49
1596448800000,7071,64
1596535200000,7114,43
1596621600000,7200,86
1596708000000,7243,43
1596794400000,7295,52
1596880800000,7361,66
1596967200000,7416,55
1597053600000,7450,34
1597140000000,7479,29
1597226400000,7528,49
1597312800000,7564,36
1597399200000,7618,54
1597485600000,7648,30
1597572000000,7700,52
1597658400000,7734,34
1597744800000,7782,48
1597831200000,7809,27
1597917600000,7861,52
1598004000000,7922,61
1598090400000,7966,44
1598176800000,8011,45
1598263200000,8037,26
1598349600000,8091,54
1598436000000,8132,41
1598522400000,8190,58
1598608800000,8264,74
