epoch,Daily Tests,7-Day Moving Average Positivity Rate
1583816400000,18,0
1583902800000,17,0
1583989200000,61,2.47
1584075600000,45,4.06
1584162000000,23,4.06
1584248400000,27,4.59
1584334800000,123,5.4
1584421200000,190,5.59
1584507600000,190,4.96
1584594000000,219,6.85
1584680400000,206,6.03
1584766800000,75,7.17
1584853200000,69,8.92
1584939600000,185,9.11
1585026000000,181,10.18
1585112400000,279,11.23
1585198800000,175,12.28
1585285200000,174,13.65
1585371600000,121,14.99
1585458000000,109,17.16
1585544400000,197,19.13
1585630800000,175,19.78
1585717200000,245,20.3
1585803600000,252,20.82
1585890000000,256,21.31
1585976400000,139,21.6
1586062800000,105,21.23
1586149200000,222,20.96
1586235600000,290,21.37
1586322000000,253,21.23
1586408400000,263,21.57
1586494800000,262,23.53
1586581200000,177,24.55
1586667600000,102,24.39
1586754000000,212,26.47
1586840400000,262,26.53
1586926800000,257,27.6
1587013200000,298,27.39
1587099600000,299,26.06
1587186000000,145,25.32
1587272400000,124,24.05
1587358800000,392,22.84
1587445200000,355,23.18
1587531600000,399,22.16
1587618000000,394,21.43
1587704400000,423,20.75
1587790800000,243,20.4
1587877200000,184,20
1587963600000,465,19.47
1588050000000,489,19.07
1588136400000,461,18.85
1588222800000,392,17.48
1588309200000,504,17.21
1588395600000,247,16.12
1588482000000,232,15.66
1588568400000,457,15.55
1588654800000,493,15.88
1588741200000,433,16.49
1588827600000,483,17.04
1588914000000,562,16.95
1589000400000,265,17.43
1589086800000,169,17.42
1589173200000,529,16.92
1589259600000,581,15.12
1589346000000,594,14.4
1589432400000,546,14.58
1589518800000,612,14.23
1589605200000,235,14.5
1589691600000,170,14.32
1589778000000,574,14.13
1589864400000,654,14.5
1589950800000,735,13.67
1590037200000,771,13.61
1590123600000,1094,13.23
1590210000000,434,13.1
1590296400000,258,13.11
1590382800000,283,13.24
1590469200000,855,12.86
1590555600000,1457,12.4
1590642000000,1108,11.49
1590728400000,1043,10.92
1590814800000,519,9.73
1590901200000,296,9.43
1590987600000,1058,7.83
1591074000000,753,7.93
1591160400000,999,8.09
1591246800000,1106,7.5
1591333200000,1329,7.39
1591419600000,473,7.7
1591506000000,237,7.79
1591592400000,1267,8.89
1591678800000,811,8.26
1591765200000,867,8.5
1591851600000,797,8.5
1591938000000,945,8.08
1592024400000,563,7.36
1592110800000,286,6.97
1592197200000,1178,5.78
1592283600000,1212,5.37
1592370000000,1061,4.48
1592456400000,936,4.66
1592542800000,1005,4.79
1592629200000,536,4.71
1592715600000,304,4.14
1592802000000,1206,4.04
1592888400000,1171,3.74
1592974800000,1055,3.93
1593061200000,917,3.45
1593147600000,1232,3.46
1593234000000,658,3.46
1593320400000,477,3.4
1593406800000,1917,3.31
1593493200000,1502,3.28
1593579600000,1507,3.09
1593666000000,1323,3.33
1593752400000,1049,3.35
1593838800000,384,3.46
1593925200000,554,3.74
1594011600000,1949,3.63
1594098000000,2343,3.77
1594184400000,2050,3.95
1594270800000,1745,4
1594357200000,1904,4.06
1594443600000,1095,4.28
1594530000000,586,4.68
1594616400000,2479,4.81
1594702800000,2788,4.82
1594789200000,2152,4.81
1594875600000,1711,4.72
1594962000000,2019,4.69
1595048400000,1061,4.42
1595134800000,640,4.22
1595221200000,2191,4.32
1595307600000,2594,4.25
1595394000000,1832,4.29
1595480400000,1616,4.3
1595566800000,1974,4.33
1595653200000,959,4.55
1595739600000,680,4.29
1595826000000,2683,4.09
1595912400000,3039,4.11
1595998800000,2191,3.95
1596085200000,1861,3.89
1596171600000,2119,3.77
1596258000000,1391,3.22
1596344400000,1138,3.04
1596430800000,2926,3.06
1596517200000,1589,2.81
1596603600000,2537,2.68
1596690000000,1816,2.65
1596776400000,2354,2.5
1596862800000,1078,2.65
1596949200000,613,2.7
1597035600000,3125,2.46
1597122000000,2490,2.63
1597208400000,2061,2.56
1597294800000,1620,2.43
1597381200000,1809,2.42
1597467600000,958,2.48
1597554000000,562,2.53
1597640400000,2290,2.81
1597726800000,2312,2.82
1597813200000,2291,2.96
1597899600000,1641,3.07
1597986000000,1842,3.09
1598072400000,863,3.06
1598158800000,652,2.81
1598245200000,2327,2.9
1598331600000,2506,2.86
1598418000000,2022,2.94
1598504400000,1489,2.94
1598590800000,1673,3.01
1598677200000,818,3.32
1598763600000,552,3.88
1598850000000,2684,3.82
1598936400000,2488,3.91
1599022800000,1979,3.89
1599109200000,1791,4.16
1599195600000,1829,4.14
1599282000000,918,4.15
1599368400000,596,4.28
1599454800000,722,4.48
1599541200000,3081,4.42
1599627600000,2428,4.6
1599714000000,1896,4.47
1599800400000,2000,4.52
1599886800000,1092,4.39
1599973200000,607,3.93
1600059600000,2575,3.68
1600146000000,3215,3.63
1600232400000,2376,3.44
1600318800000,1962,3.35
1600405200000,2105,3.23
1600491600000,939,3.22
1600578000000,628,3.5
1600664400000,2521,3.43
1600750800000,2739,3.51
1600837200000,2591,3.48
1600923600000,1933,3.51
1601010000000,1862,3.45
1601096400000,960,3.27
1601182800000,561,3.36
1601269200000,2468,3.53
1601355600000,2761,3.48
1601442000000,2411,3.55
1601528400000,2171,3.54
1601614800000,2110,3.76
1601701200000,1323,3.83
1601787600000,644,3.65
1601874000000,3356,3.55
1601960400000,3560,3.58
1602046800000,3272,3.49
1602133200000,2314,3.5
1602219600000,2222,3.49
1602306000000,1175,3.57
1602392400000,657,3.77
1602478800000,2534,3.94
1602565200000,3250,3.93
1602651600000,2723,3.84
1602738000000,2385,3.79
1602824400000,2290,3.64
1602910800000,1069,3.64
1602997200000,677,3.74
1603083600000,3338,3.61
1603170000000,3284,3.54
1603256400000,2869,3.67
1603342800000,2004,3.75
1603429200000,2429,3.99
1603515600000,1288,4.12
1603602000000,736,3.95
1603688400000,3248,4.09
1603774800000,3305,4.17
1603861200000,2994,4.23
1603947600000,2328,4.37
1604034000000,2270,4.48
1604120400000,1239,4.61
1604206800000,862,5.09
1604293200000,3538,5.16
1604379600000,3645,5.51
1604466000000,3579,5.85
1604552400000,3446,6
1604638800000,2822,6.23
1604725200000,1672,6.31
1604811600000,1036,6.27
1604898000000,4881,6.39
1604984400000,3920,6.55
1605070800000,3071,6.5
