epoch,1st Dose,Second/Single Dose,Total Daily Doses
1607922000000,1,0,
1608008400000,0,0,
1608094800000,53,0,
1608181200000,97,0,
1608267600000,168,0,
1608354000000,41,0,
1608440400000,5,0,
1608526800000,283,0,
1608613200000,409,0,
1608699600000,368,0,
1608786000000,234,0,
1608872400000,22,0,
1608958800000,161,0,
1609045200000,99,0,
1609131600000,600,0,
1609218000000,799,0,
1609304400000,851,0,
1609390800000,540,0,
1609477200000,201,0,
1609563600000,151,0,
1609650000000,206,0,
1609736400000,1167,14,
1609822800000,829,16,
1609909200000,1157,69,
1609995600000,1418,109,
1610082000000,1593,187,
1610168400000,300,45,
1610254800000,432,12,
1610341200000,1385,283,
1610427600000,1582,398,
1610514000000,1561,243,
1610600400000,1368,116,
1610686800000,1633,87,
1610773200000,501,130,
1610859600000,352,44,
1610946000000,1669,287,
1611032400000,2162,555,
1611118800000,2068,474,
1611205200000,2195,394,
1611291600000,2159,342,
1611378000000,665,79,
1611464400000,523,53,
1611550800000,1528,941,
1611637200000,1532,867,
1611723600000,1852,935,
1611810000000,1731,745,
1611896400000,1699,919,
1611982800000,1097,110,
1612069200000,406,298,
1612155600000,703,299,
1612242000000,1234,1451,
1612328400000,1452,2080,
1612414800000,1523,1900,
1612501200000,1417,1488,
1612587600000,784,949,
1612674000000,290,79,
1612760400000,1329,1239,
1612846800000,1059,618,
1612933200000,1617,1740,
1613019600000,3167,1662,
1613106000000,2231,1779,
1613192400000,680,1272,
1613278800000,803,618,
1613365200000,1984,514,
1613451600000,2198,1290,
1613538000000,3330,2083,
1613624400000,262,260,
1613710800000,1567,947,
1613797200000,806,1928,
1613883600000,750,1031,
1613970000000,708,1498,
1614056400000,1449,1715,
1614142800000,1416,1744,
1614229200000,2399,1582,
1614315600000,1949,1133,
1614402000000,1278,462,
1614488400000,1395,326,
1614574800000,2056,772,
1614661200000,2135,1170,
1614747600000,2422,1535,
1614834000000,2752,2530,
1614920400000,2225,2543,
1615006800000,1334,1365,
1615093200000,1361,1145,
1615179600000,2174,2178,
1615266000000,2261,3561,
1615352400000,3027,3174,
1615438800000,3480,2679,
1615525200000,2670,1960,
1615611600000,1972,743,
1615698000000,1794,748,
1615784400000,2915,1615,
1615870800000,4000,1539,
1615957200000,3737,1390,
1616043600000,3941,1699,
1616130000000,2758,1750,
1616216400000,2080,974,
1616302800000,1771,788,
1616389200000,3582,947,
1616475600000,3495,1506,
1616562000000,3994,1911,
1616648400000,3989,2486,
1616734800000,3570,1949,
1616821200000,1761,1356,
1616907600000,1507,1261,
1616994000000,2525,2325,
1617080400000,3170,2192,
1617166800000,3706,3632,
1617253200000,3633,3530,
1617339600000,3325,2985,
1617426000000,2274,1877,
1617512400000,883,1241,
1617598800000,2909,2983,
1617685200000,3130,3521,
1617771600000,3136,4152,
1617858000000,4316,5005,
1617944400000,3167,3810,
1618030800000,1813,2793,
1618117200000,1618,1619,
1618203600000,2490,4091,
1618290000000,3094,4141,
1618376400000,2957,3425,
1618462800000,3530,3611,
1618549200000,3668,2676,
1618635600000,2866,1514,
1618722000000,2724,1444,
1618808400000,3096,2900,
1618894800000,2796,3557,
1618981200000,3749,4052,
1619067600000,3488,3814,
1619154000000,3040,3956,
1619240400000,1722,2464,
1619326800000,1857,821,
1619413200000,2551,3157,
1619499600000,2145,2904,
1619586000000,3054,2283,
1619672400000,2740,2199,
1619758800000,2658,2301,
1619845200000,2317,2303,
1619931600000,1096,1584,
1620018000000,1349,2341,
1620104400000,1413,2574,
1620190800000,2212,3358,
1620277200000,1754,3633,
1620363600000,1669,3220,
1620450000000,952,2311,
1620536400000,456,1079,
1620622800000,880,2914,
1620709200000,1060,2606,
1620795600000,1771,2984,
1620882000000,2231,3014,
1620968400000,2463,3234,
1621054800000,1883,2596,
1621141200000,1280,2266,
1621227600000,1417,3017,
1621314000000,1518,2990,
1621400400000,3749,4419,
1621486800000,1869,3711,
1621573200000,1615,3351,
1621659600000,1286,1741,
1621746000000,918,1465,
1621832400000,1137,2277,
1621918800000,931,1669,
1622005200000,2498,1934,
1622091600000,995,1723,
1622178000000,1069,1650,
1622264400000,837,1844,
1622350800000,498,1291,
1622437200000,158,593,
1622523600000,683,1483,
1622610000000,1299,2552,
1622696400000,687,2353,
1622782800000,660,2573,
1622869200000,552,2129,
1622955600000,294,1078,
1623042000000,488,1417,
1623128400000,434,1277,
1623214800000,630,3417,
1623301200000,655,1897,
1623387600000,560,1733,
1623474000000,419,1324,
1623560400000,120,568,
1623646800000,454,1252,
1623733200000,450,1187,
1623819600000,463,2493,
1623906000000,504,1114,
1623992400000,454,1027,
1624078800000,402,995,
1624165200000,180,362,
1624251600000,423,591,
1624338000000,426,846,
1624424400000,490,1191,
1624510800000,455,773,
1624597200000,399,697,
1624683600000,289,581,
1624770000000,171,278,
1624856400000,378,548,
1624942800000,433,524,
1625029200000,425,658,
1625115600000,405,653,
1625202000000,382,538,
1625288400000,239,373,
1625374800000,38,41,
1625461200000,340,377,
1625547600000,347,442,
1625634000000,356,502,
1625720400000,364,466,
1625806800000,435,521,
1625893200000,271,359,
1625979600000,166,201,
1626066000000,409,468,
1626152400000,325,403,
1626238800000,369,449,
1626325200000,376,427,
1626411600000,467,442,
1626498000000,308,291,
1626584400000,165,169,
1626670800000,413,406,
1626757200000,443,376,
1626843600000,561,443,
1626930000000,526,407,
1627016400000,589,387,
1627102800000,345,299,
1627189200000,295,104,
1627275600000,551,426,
1627362000000,555,377,
1627448400000,555,347,
1627534800000,591,367,
1627621200000,662,385,
1627707600000,440,247,
1627794000000,351,178,
1627880400000,735,362,
1627966800000,648,345,
1628053200000,669,373,
1628139600000,671,341,
1628226000000,779,411,
1628312400000,462,271,
1628398800000,336,180,
1628485200000,596,427,
1628571600000,701,386,
1628658000000,587,468,
1628744400000,627,434,
1628830800000,625,476,
1628917200000,477,339,
