category,1st Dose,Second/Single Dose,Total Daily Doses
12/14/20,1,0,1
12/15/20,0,0,0
12/16/20,53,0,53
12/17/20,97,0,97
12/18/20,168,0,168
12/19/20,41,0,41
12/20/20,5,0,5
12/21/20,283,0,283
12/22/20,409,0,409
12/23/20,368,0,368
12/24/20,234,0,234
12/25/20,22,0,22
12/26/20,161,0,161
12/27/20,99,0,99
12/28/20,600,0,600
12/29/20,799,0,799
12/30/20,851,0,851
12/31/20,540,0,540
01/01/21,201,0,201
01/02/21,151,0,151
01/03/21,206,0,206
01/04/21,1167,14,1181
01/05/21,829,16,845
01/06/21,1157,69,1226
01/07/21,1418,109,1527
01/08/21,1593,187,1780
01/09/21,300,45,345
01/10/21,432,12,444
01/11/21,1385,283,1668
01/12/21,1582,398,1980
01/13/21,1561,243,1804
01/14/21,1368,116,1484
01/15/21,1633,87,1720
01/16/21,501,130,631
01/17/21,352,44,396
01/18/21,1669,287,1956
01/19/21,2162,555,2717
01/20/21,2068,474,2542
01/21/21,2195,394,2589
01/22/21,2159,342,2501
01/23/21,665,79,744
01/24/21,523,53,576
01/25/21,1528,941,2469
01/26/21,1532,867,2399
01/27/21,1852,935,2787
01/28/21,1731,745,2476
01/29/21,1699,919,2618
01/30/21,1097,110,1207
01/31/21,406,298,704
02/01/21,703,299,1002
02/02/21,1234,1451,2685
02/03/21,1452,2080,3532
02/04/21,1523,1900,3423
02/05/21,1417,1488,2905
02/06/21,784,949,1733
02/07/21,290,79,369
02/08/21,1329,1239,2568
02/09/21,1059,618,1677
02/10/21,1617,1740,3357
02/11/21,3167,1662,4829
02/12/21,2231,1779,4010
02/13/21,680,1272,1952
02/14/21,803,618,1421
02/15/21,1984,514,2498
02/16/21,2198,1290,3488
02/17/21,3330,2083,5413
02/18/21,262,260,522
02/19/21,1567,947,2514
02/20/21,806,1928,2734
02/21/21,750,1031,1781
02/22/21,708,1498,2206
02/23/21,1449,1715,3164
02/24/21,1416,1744,3160
02/25/21,2399,1582,3981
02/26/21,1949,1133,3082
02/27/21,1278,462,1740
02/28/21,1395,326,1721
03/01/21,2056,772,2828
03/02/21,2135,1170,3305
03/03/21,2422,1535,3957
03/04/21,2752,2530,5282
03/05/21,2225,2543,4768
03/06/21,1334,1365,2699
03/07/21,1361,1145,2506
03/08/21,2174,2178,4352
03/09/21,2261,3561,5822
03/10/21,3027,3174,6201
03/11/21,3480,2679,6159
03/12/21,2670,1960,4630
03/13/21,1972,743,2715
03/14/21,1794,748,2542
03/15/21,2915,1615,4530
03/16/21,4000,1539,5539
03/17/21,3737,1390,5127
03/18/21,3941,1699,5640
03/19/21,2758,1750,4508
03/20/21,2080,974,3054
03/21/21,1771,788,2559
03/22/21,3582,947,4529
03/23/21,3495,1506,5001
03/24/21,3994,1911,5905
03/25/21,3989,2486,6475
03/26/21,3570,1949,5519
03/27/21,1761,1356,3117
03/28/21,1507,1261,2768
03/29/21,2525,2325,4850
03/30/21,3170,2192,5362
03/31/21,3706,3632,7338
04/01/21,3633,3530,7163
04/02/21,3325,2985,6310
04/03/21,2274,1877,4151
04/04/21,883,1241,2124
04/05/21,2909,2983,5892
04/06/21,3130,3521,6651
04/07/21,3136,4152,7288
04/08/21,4316,5005,9321
04/09/21,3167,3810,6977
04/10/21,1813,2793,4606
04/11/21,1618,1619,3237
04/12/21,2490,4091,6581
04/13/21,3094,4141,7235
04/14/21,2957,3425,6382
04/15/21,3530,3611,7141
04/16/21,3668,2676,6344
04/17/21,2866,1514,4380
04/18/21,2724,1444,4168
04/19/21,3096,2900,5996
04/20/21,2796,3557,6353
04/21/21,3749,4052,7801
04/22/21,3488,3814,7302
04/23/21,3040,3956,6996
04/24/21,1722,2464,4186
04/25/21,1857,821,2678
04/26/21,2551,3157,5708
04/27/21,2145,2904,5049
04/28/21,3054,2283,5337
04/29/21,2740,2199,4939
04/30/21,2658,2301,4959
05/01/21,2317,2303,4620
05/02/21,1096,1584,2680
05/03/21,1349,2341,3690
05/04/21,1413,2574,3987
05/05/21,2212,3358,5570
05/06/21,1754,3633,5387
05/07/21,1669,3220,4889
05/08/21,952,2311,3263
05/09/21,456,1079,1535
05/10/21,880,2914,3794
05/11/21,1060,2606,3666
05/12/21,1771,2984,4755
05/13/21,2231,3014,5245
05/14/21,2463,3234,5697
05/15/21,1883,2596,4479
05/16/21,1280,2266,3546
05/17/21,1417,3017,4434
05/18/21,1518,2990,4508
05/19/21,3749,4419,8168
05/20/21,1869,3711,5580
05/21/21,1615,3351,4966
05/22/21,1286,1741,3027
05/23/21,918,1465,2383
05/24/21,1137,2277,3414
05/25/21,931,1669,2600
05/26/21,2498,1934,4432
05/27/21,995,1723,2718
05/28/21,1069,1650,2719
05/29/21,837,1844,2681
05/30/21,498,1291,1789
05/31/21,158,593,751
06/01/21,683,1483,2166
06/02/21,1299,2552,3851
06/03/21,687,2353,3040
06/04/21,660,2573,3233
06/05/21,552,2129,2681
06/06/21,294,1078,1372
06/07/21,488,1417,1905
06/08/21,434,1277,1711
06/09/21,630,3417,4047
06/10/21,655,1897,2552
06/11/21,560,1733,2293
06/12/21,419,1324,1743
06/13/21,120,568,688
06/14/21,454,1252,1706
06/15/21,450,1187,1637
06/16/21,463,2493,2956
06/17/21,504,1114,1618
06/18/21,454,1027,1481
06/19/21,402,995,1397
06/20/21,180,362,542
06/21/21,423,591,1014
06/22/21,426,846,1272
06/23/21,490,1191,1681
06/24/21,455,773,1228
06/25/21,399,697,1096
06/26/21,289,581,870
06/27/21,171,278,449
06/28/21,378,548,926
06/29/21,433,524,957
06/30/21,425,658,1083
07/01/21,405,653,1058
07/02/21,382,538,920
07/03/21,239,373,612
07/04/21,38,41,79
07/05/21,340,377,717
07/06/21,347,442,789
07/07/21,356,502,858
07/08/21,364,466,830
07/09/21,435,521,956
07/10/21,271,359,630
07/11/21,166,201,367
07/12/21,409,468,877
07/13/21,325,403,728
07/14/21,369,449,818
07/15/21,376,427,803
07/16/21,467,442,909
07/17/21,308,291,599
07/18/21,165,169,334
07/19/21,413,406,819
07/20/21,443,376,819
07/21/21,561,443,1004
07/22/21,526,407,933
07/23/21,589,387,976
07/24/21,345,299,644
07/25/21,295,104,399
07/26/21,551,426,977
07/27/21,555,377,932
07/28/21,555,347,902
07/29/21,591,367,958
07/30/21,662,385,1047
07/31/21,440,247,687
08/01/21,351,178,529
08/02/21,735,362,1097
08/03/21,648,345,993
08/04/21,669,373,1042
08/05/21,671,341,1012
08/06/21,779,411,1190
08/07/21,462,271,733
08/08/21,336,180,516
