OBJECTID,DATE,Count_,Daily Reported,7-Day Avg
1,3/4/2020,0,0,
2,3/5/2020,3,3,
3,3/6/2020,3,0,
4,3/7/2020,3,0,
5,3/8/2020,5,2,
6,3/9/2020,6,1,
7,3/10/2020,9,3,1.29
8,3/11/2020,12,3,1.71
9,3/12/2020,12,0,1.29
10,3/13/2020,15,3,1.71
11,3/14/2020,26,11,3.29
12,3/15/2020,31,5,3.71
13,3/16/2020,37,6,4.43
14,3/17/2020,57,20,6.86
15,3/18/2020,85,28,10.43
16,3/19/2020,107,22,13.57
17,3/20/2020,149,42,19.14
18,3/21/2020,190,41,23.43
19,3/22/2020,244,54,30.43
20,3/23/2020,288,44,35.86
21,3/24/2020,349,61,41.71
22,3/25/2020,423,74,48.29
23,3/26/2020,580,157,67.57
24,3/27/2020,774,194,89.29
25,3/28/2020,992,218,114.57
26,3/29/2020,1239,247,142.14
27,3/30/2020,1413,174,160.71
28,3/31/2020,1660,247,187.29
29,4/1/2020,1985,325,223.14
30,4/2/2020,2331,346,250.14
31,4/3/2020,2758,427,283.43
32,4/4/2020,3125,367,304.71
33,4/5/2020,3609,484,338.57
34,4/6/2020,4045,436,376.00
35,4/7/2020,4371,326,387.29
36,4/8/2020,5529,1158,506.29
37,4/9/2020,6185,656,550.57
38,4/10/2020,6968,783,601.43
39,4/11/2020,7694,726,652.71
40,4/12/2020,8225,531,659.43
41,4/13/2020,8936,711,698.71
42,4/14/2020,9472,536,728.71
43,4/15/2020,10032,560,643.29
44,4/16/2020,10784,752,657.00
45,4/17/2020,11572,788,657.71
46,4/18/2020,12308,736,659.14
47,4/19/2020,12830,522,657.86
48,4/20/2020,13684,854,678.29
49,4/21/2020,14193,509,674.43
50,4/22/2020,14775,582,677.57
51,4/23/2020,15737,962,707.57
52,4/24/2020,16616,879,720.57
53,4/25/2020,17766,1150,779.71
54,4/26/2020,18581,815,821.57
55,4/27/2020,19487,906,829.00
56,4/28/2020,20113,626,845.71
57,4/29/2020,20849,736,867.71
58,4/30/2020,21742,893,857.86
59,5/1/2020,23472,1730,979.43
60,5/2/2020,24473,1001,958.14
61,5/3/2020,25462,989,983.00
62,5/4/2020,26408,946,988.71
63,5/5/2020,27117,709,1000.57
64,5/6/2020,28163,1046,1044.86
65,5/7/2020,29374,1211,1090.29
66,5/8/2020,30485,1111,1001.86
67,5/9/2020,31534,1049,1008.71
68,5/10/2020,32587,1053,1017.86
69,5/11/2020,33373,786,995.00
70,5/12/2020,34061,688,992.00
71,5/13/2020,34812,751,949.86
72,5/14/2020,35903,1091,932.71
73,5/15/2020,36986,1083,928.71
74,5/16/2020,37968,982,919.14
75,5/17/2020,38804,836,888.14
76,5/18/2020,39762,958,912.71
77,5/19/2020,41546,1784,1069.29
78,5/20/2020,42323,777,1073.00
79,5/21/2020,43531,1208,1089.71
80,5/22/2020,44424,893,1062.57
81,5/23/2020,45495,1071,1075.29
82,5/24/2020,46313,818,1072.71
83,5/25/2020,47152,839,1055.71
84,5/26/2020,47687,535,877.29
85,5/27/2020,48423,736,871.43
86,5/28/2020,49709,1286,882.57
87,5/29/2020,50988,1279,937.71
88,5/30/2020,52015,1027,931.43
89,5/31/2020,52778,763,923.57
90,6/1/2020,53327,549,882.14
91,6/2/2020,54175,848,926.86
